raceId,driverId,average_qualifying_time
42,8,72560.66666666667
42,11,73477.0
42,13,72538.0
42,14,73148.5
42,15,73267.66666666667
42,16,74122.0
42,17,73361.33333333333
42,18,73152.0
42,19,73211.5
42,20,72956.0
42,21,73241.33333333333
42,22,73202.0
42,23,72885.5
42,24,73484.0
42,25,73441.0
42,26,73712.0
42,27,74597.0
43,1,74901.33333333333
43,2,75610.66666666667
43,3,75917.0
43,4,75203.0
43,5,75540.66666666667
43,8,74985.66666666667
43,9,75445.66666666667
43,11,76244.0
43,13,75053.0
43,14,75915.0
43,15,75810.66666666667
43,16,77915.0
43,17,75776.0
43,18,75848.5
43,19,76366.0
43,21,75649.33333333333
43,22,75950.5
43,23,75647.0
43,24,76142.0
43,25,76241.0
43,26,76014.5
43,27,77826.0
44,1,79760.66666666667
44,2,80535.33333333333
44,3,81219.0
44,4,79543.0
44,5,80456.0
44,8,79701.33333333333
44,9,80249.66666666667
44,11,82045.0
44,13,79825.33333333333
44,14,80741.5
44,15,80841.0
44,16,82019.0
44,17,80409.0
44,18,81335.0
44,19,81448.0
44,21,80553.0
44,22,80766.5
44,23,80296.33333333333
44,24,80991.5
44,25,80590.0
44,26,80674.5
44,27,82586.0
45,1,92201.66666666667
45,2,91793.66666666667
45,3,92047.5
45,4,91266.0
45,5,92285.0
45,8,91403.0
45,9,91842.66666666667
45,11,92758.0
45,13,91379.0
45,14,93151.0
45,15,92247.0
45,16,94500.0
45,17,92255.33333333333
45,18,92983.0
45,19,92622.0
45,21,92194.0
45,22,92447.5
45,23,92286.33333333333
45,24,93148.0
45,25,92084.5
45,26,93038.0
45,28,95940.0
46,1,79550.66666666667
46,2,80444.0
46,3,80455.66666666667
46,4,79920.0
46,5,80532.0
46,8,80317.33333333333
46,9,80648.33333333333
46,11,82143.0
46,13,80714.5
46,14,81004.5
46,15,80546.0
46,16,82737.0
46,17,80829.66666666667
46,18,81737.0
46,19,81072.5
46,20,82177.0
46,21,81104.66666666667
46,22,81877.0
46,23,80539.33333333333
46,24,81861.5
46,25,81054.0
46,29,83774.0
47,1,87274.0
47,2,87796.33333333333
47,3,88175.33333333333
47,4,87247.66666666667
47,5,87885.66666666667
47,8,87247.33333333333
47,9,87657.33333333333
47,11,88953.0
47,13,87285.33333333333
47,14,88247.5
47,15,88286.33333333333
47,16,89861.0
47,17,88256.5
47,18,88296.5
47,19,88153.0
47,20,89408.0
47,21,88505.0
47,22,88490.0
47,23,88809.0
47,24,88798.0
47,25,88375.0
47,29,91479.0
48,1,81912.0
48,2,82915.66666666667
48,3,83487.66666666667
48,4,81690.33333333333
48,5,83580.33333333333
48,8,82741.66666666667
48,9,82978.0
48,11,83749.0
48,13,82283.66666666667
48,14,84019.0
48,15,83795.33333333333
48,16,84699.0
48,17,83370.5
48,18,83941.66666666667
48,19,83460.0
48,20,83464.5
48,21,83442.0
48,22,83325.0
48,23,83787.0
48,24,83886.0
48,25,83474.0
48,29,85084.0
49,1,105991.66666666667
49,2,106775.33333333333
49,3,106917.66666666667
49,4,105863.66666666667
49,5,107238.66666666667
49,8,105768.66666666667
49,9,106529.33333333333
49,11,107980.0
49,13,105748.0
49,14,107070.0
49,15,107140.33333333333
49,16,108044.0
49,17,107011.33333333333
49,18,107214.5
49,19,108199.0
49,20,107581.0
49,21,106873.0
49,22,107954.0
49,23,106959.0
49,24,107345.5
49,25,107458.0
49,29,109557.0
50,1,85203.33333333333
50,2,85908.0
50,3,86374.33333333333
50,4,85207.66666666667
50,5,86727.5
50,8,85298.0
50,9,86351.66666666667
50,11,88762.0
50,13,85391.0
50,14,86575.5
50,15,86482.0
50,16,88628.0
50,17,86139.66666666667
50,18,86327.0
50,19,87564.0
50,20,86302.33333333333
50,21,86471.0
50,22,87323.0
50,23,87191.0
50,24,87091.0
50,25,87454.0
50,29,89668.0
51,1,95868.0
51,2,97136.33333333333
51,3,97313.5
