raceId,driverId,totalPitStops,totalPitTime,averagePitTime
856,17,2,41628,20814.0
856,18,2,41524,20762.0
856,20,2,40155,20077.5
856,22,2,44069,22034.5
856,24,3,72015,24005.0
856,30,1,20238,20238.0
856,67,2,44090,22045.0
856,153,2,44626,22313.0
856,155,3,68673,22891.0
856,808,1,21478,21478.0
856,811,2,43056,21528.0
856,813,3,57588,19196.0
856,814,2,43135,21567.5
856,815,3,64581,21527.0
856,816,2,49317,24658.5
856,817,2,45311,22655.5
857,1,3,71895,23965.0
857,3,2,44127,22063.5
857,4,2,43628,21814.0
857,5,2,44227,22113.5
857,10,1,27378,27378.0
857,13,3,64386,21462.0
857,15,3,87778,29259.333333333332
857,16,2,43401,21700.5
857,17,2,42632,21316.0
857,18,2,42930,21465.0
857,20,2,42864,21432.0
857,22,2,55989,27994.5
857,30,2,42375,21187.5
857,39,2,47651,23825.5
857,67,1,22579,22579.0
857,153,2,45940,22970.0
857,808,2,49656,24828.0
857,811,2,43867,21933.5
857,814,3,66659,22219.666666666668
857,815,2,47465,23732.5
857,816,2,45159,22579.5
857,817,3,96077,32025.666666666668
858,1,2,38789,19394.5
858,3,2,39692,19846.0
858,4,2,41525,20762.5
858,5,2,41798,20899.0
858,10,2,42353,21176.5
858,13,2,40506,20253.0
858,15,2,41615,20807.5
858,16,2,40970,20485.0
858,17,3,64707,21569.0
858,18,2,41209,20604.5
858,22,2,44753,22376.5
858,24,1,21247,21247.0
858,30,2,40298,20149.0
858,153,2,64937,32468.5
858,155,2,42941,21470.5
858,808,2,40706,20353.0
858,811,3,54171,18057.0
858,813,2,33098,16549.0
858,814,1,20216,20216.0
858,815,2,44633,22316.5
858,817,2,44885,22442.5
859,1,3,62176,20725.333333333332
859,3,2,41431,20715.5
859,4,3,62189,20729.666666666668
859,5,3,66345,22115.0
859,10,1,22452,22452.0
859,13,2,42749,21374.5
859,15,2,44171,22085.5
859,16,3,63135,21045.0
859,17,3,62526,20842.0
859,18,3,64626,21542.0
859,20,3,63673,21224.333333333332
859,22,3,65765,21921.666666666668
859,24,2,45662,22831.0
859,30,3,67636,22545.333333333332
859,67,2,44878,22439.0
859,153,2,44628,22314.0
859,155,2,46348,23174.0
859,808,3,66052,22017.333333333332
859,811,4,81346,20336.5
859,813,1,21561,21561.0
859,814,2,42512,21256.0
859,815,2,43558,21779.0
859,816,2,45401,22700.5
859,817,2,46377,23188.5
860,1,2,46326,23163.0
860,3,2,46220,23110.0
860,4,2,43945,21972.5
860,5,3,77865,25955.0
860,8,2,48191,24095.5
860,10,2,51368,25684.0
860,13,3,66944,22314.666666666668
860,17,2,46217,23108.5
860,18,2,46112,23056.0
860,20,2,48387,24193.5
860,155,2,49508,24754.0
860,808,1,24579,24579.0
860,811,3,79264,26421.333333333332
860,813,2,46593,23296.5
860,814,2,49512,24756.0
860,815,1,23882,23882.0
860,817,3,79924,26641.333333333332
860,818,2,46772,23386.0
860,819,3,91375,30458.333333333332
861,1,3,78570,26190.0
861,3,4,97080,24270.0
861,4,3,70051,23350.333333333332
861,5,4,115691,28922.75
861,8,3,77570,25856.666666666668
861,10,3,76146,25382.0
861,13,4,98518,24629.5
861,17,3,74101,24700.333333333332
861,18,5,133730,26746.0
861,20,4,98597,24649.25
861,30,3,71088,23696.0
861,37,3,83054,27684.666666666668
861,39,2,64576,32288.0
861,155,3,78039,26013.0
861,807,3,70763,23587.666666666668
861,808,3,84412,28137.333333333332
861,811,4,106079,26519.75
861,813,4,94539,23634.75
861,814,3,69019,23006.333333333332
861,815,3,74734,24911.333333333332
861,817,4,96267,24066.75
861,818,2,47559,23779.5
861,819,3,98083,32694.333333333332
862,1,3,61771,20590.333333333332
862,3,2,41758,20879.0
862,4,3,60456,20152.0
862,5,3,83067,27689.0
862,8,2,42927,21463.5
862,10,2,42842,21421.0
862,13,2,40301,20150.5
862,17,3,61322,20440.666666666668
862,18,3,67655,22551.666666666668
862,20,2,42595,21297.5
862,30,1,21746,21746.0
862,37,2,47122,23561.0
862,39,2,48088,24044.0
862,154,2,47019,23509.5
862,155,3,64358,21452.666666666668
862,807,2,53434,26717.0
862,808,2,43858,21929.0
862,811,2,42507,21253.5
862,813,2,42798,21399.0
862,814,2,41393,20696.5
862,815,2,45574,22787.0
862,817,2,44202,22101.0
862,818,3,68989,22996.333333333332
862,819,3,59866,19955.333333333332
863,1,3,82659,27553.0
863,3,3,67019,22339.666666666668
863,4,3,68750,22916.666666666668
863,5,4,95182,23795.5
863,8,3,67371,22457.0
863,10,3,76004,25334.666666666668
863,13,3,67458,22486.0
863,17,3,66590,22196.666666666668
863,18,4,91845,22961.25
863,20,3,66534,22178.0
863,30,3,66276,22092.0
863,37,3,72181,24060.333333333332
863,39,4,101834,25458.5
863,154,3,68905,22968.333333333332
863,155,3,73022,24340.666666666668
863,807,3,67419,22473.0
863,808,3,69999,23333.0
863,811,3,68511,22837.0
863,813,2,45198,22599.0
863,814,2,44552,22276.0
863,815,3,69760,23253.333333333332
863,817,3,70619,23539.666666666668
863,818,3,68357,22785.666666666668
863,819,1,24020,24020.0
864,1,2,41943,20971.5
864,3,3,60758,20252.666666666668
864,4,3,59589,19863.0
864,5,3,65131,21710.333333333332
864,8,3,61151,20383.666666666668
864,10,3,62653,20884.333333333332
864,13,4,75733,18933.25
864,17,3,65112,21704.0
864,18,3,61282,20427.333333333332
864,20,4,78847,19711.75
864,30,1,20113,20113.0
864,37,4,87424,21856.0
864,39,2,44033,22016.5
864,154,3,62473,20824.333333333332
864,155,3,63952,21317.333333333332
864,807,3,61594,20531.333333333332
864,808,3,69745,23248.333333333332
864,813,3,63667,21222.333333333332
